brand,model,UUID,size,weight (g),drop (mm),support,price,start date,end date,total miles,notes
Brooks,Ghost 10,B001,15 D,,,,$120.00,12/29/17,,,too long
Brooks,Ghost 11,B002,14 D,,,,$100.00,6/26/19,,,
Brooks,Ravenna 11,B003,14 D,,,,$110.00,10/21/20,,,really bad cutting of my heel
Brooks,Ghost 13,B004,14,,,,$130.00,5/19/21,10/18/21,306,tore out on the sides before wearing out the sole
Brooks,Ghost 13,B005,14 wide (2E),,11,neutral,$130.00,10/18/21,7/10/22,425,tore out of sides and wore down sole; outside worn more than inside
Brooks,Ghost 14,B006,14 wide (2E),,12,neutral,$130.00,7/12/22,12/8/22,397,@future Josh: I might want to try a size 13 (or 13.5 if available) next time
On,Cloudflow,O001,13 wide,,9,“direct” (low),$140.00,12/12/22,3/26/23,117,strange poking in the foot every now and then; retired early and used for the gym only
Brooks,Ghost 14,B007,13 wide (2E),,12,neutral,$99.95,3/31/23,,,
Brooks,Ghost 14,B008,13 wide (2E),,12,neutral,$85.00,2/20/24,12/1/25,,Bought “used” (effectively new) from Brooks
Brooks,Cascadia,B009,13,,,,,,3/28/25,,Trail runners also used for hiking
New Balance,1080 (v14),N001,13 D,,,,$115.00,2/26/25,7/25/25,427.46,Purchased on sale from $165 on sale at REI
Saucony,Peregrine 15,S001,13,,4,,$119.00,3/29/25,,—,"Purchased on sale from $140 on sale at REI, returned"
Brooks,Ghost 16,B010,13 wide (2E),,,,$75.00,5/11/25,,134.24,Bought “used” (effectively new) from Brooks
Topo Athletic,Ultraventure 4,T001,13,,5,,$124.00,,,23.07,
Brooks,Ghost 16,B011,13 wide (2E),,,,$84.00,,,0,Brooks Restart program
Brooks,Ghost 17,B012,13 wide (2E),,,,$90.00,,,0,Brooks Restart program